"filename", "language", "Rust", "comment", "blank", "total"
"c:\Users\AmirP\chronos\crates\chronos-dir\src\api.rs", "Rust", -122, -6, -7, -135
"c:\Users\AmirP\chronos\crates\chronos-dir\src\consensus.rs", "Rust", -111, -7, -17, -135
"c:\Users\AmirP\chronos\crates\chronos-dir\src\consensus_store.rs", "Rust", -175, -6, -20, -201
"c:\Users\AmirP\chronos\crates\chronos-dir\src\main.rs", "Rust", -56, -3, -8, -67
"c:\Users\AmirP\chronos\crates\chronos-dir\src\signed_record.rs", "Rust", -61, -1, -8, -70
"c:\Users\AmirP\chronos\crates\chronos-dir\src\store.rs", "Rust", -145, -1, -10, -156
"c:\Users\AmirP\chronos\crates\chronos-lite\src\config.rs", "Rust", -221, -5, -30, -256
"c:\Users\AmirP\chronos\crates\chronos-lite\src\dpf_store.rs", "Rust", -402, 0, -37, -439
"c:\Users\AmirP\chronos\crates\chronos-lite\src\main.rs", "Rust", -360, -4, -19, -383
"c:\Users\AmirP\chronos\crates\chronos-lite\src\secure_udp.rs", "Rust", -261, -9, -34, -304
"c:\Users\AmirP\chronos\crates\chronos-lite\src\webrtc_turn.rs", "Rust", -42, 0, -5, -47
"c:\Users\AmirP\chronos\crates\chronos-sys-dataplane\src\af_xdp_proto.rs", "Rust", -51, -5, -10, -66
"c:\Users\AmirP\chronos\crates\chronos-sys-dataplane\src\io_uring_proto.rs", "Rust", -47, -4, -10, -61
"c:\Users\AmirP\chronos\crates\chronos-sys-dataplane\src\lib.rs", "Rust", -24, 0, -5, -29
"c:\Users\AmirP\chronos\crates\chronos-sys-dataplane\src\ring_model.rs", "Rust", -85, -6, -17, -108
"c:\Users\AmirP\chronos\crates\chronos-sys-dataplane\src\timestamping.rs", "Rust", -16, -3, -2, -21
"c:\Users\AmirP\chronos\crates\chronos-sys-dataplane\src\umem.rs", "Rust", -26, -3, -5, -34
"c:\Users\AmirP\chronos\crates\chronos-wasm\src\bindings.rs", "Rust", -22, -2, -4, -28
"c:\Users\AmirP\chronos\crates\chronos-wasm\src\equihash.rs", "Rust", -47, -4, -9, -60
"c:\Users\AmirP\chronos\crates\chronos-wasm\src\hydra_tcp.rs", "Rust", -53, -3, -10, -66
"c:\Users\AmirP\chronos\crates\chronos-wasm\src\imes.rs", "Rust", -50, -3, -11, -64
"c:\Users\AmirP\chronos\crates\chronos-wasm\src\lib.rs", "Rust", -44, -9, -12, -65
"c:\Users\AmirP\chronos\crates\chronos-wasm\src\mobile_power.rs", "Rust", -44, -3, -8, -55
"c:\Users\AmirP\chronos\crates\chronos-wasm\src\stego_ws.rs", "Rust", -55, -3, -12, -70
"c:\Users\AmirP\chronos\crates\chronos-wasm\src\transport.rs", "Rust", -44, -5, -10, -59
"c:\Users\AmirP\chronos\crates\chronosd\src\af_xdp_proto.rs", "Rust", -28, -1, -5, -34
"c:\Users\AmirP\chronos\crates\chronosd\src\cache_resctrl.rs", "Rust", -22, -2, -7, -31
"c:\Users\AmirP\chronos\crates\chronosd\src\config.rs", "Rust", -223, -1, -11, -235
"c:\Users\AmirP\chronos\crates\chronosd\src\dataplane_probe.rs", "Rust", -47, -1, -5, -53
"c:\Users\AmirP\chronos\crates\chronosd\src\io_uring_proto.rs", "Rust", -26, -1, -5, -32
"c:\Users\AmirP\chronos\crates\chronosd\src\main.rs", "Rust", -145, -7, -16, -168
"c:\Users\AmirP\chronos\crates\chronosd\src\metrics.rs", "Rust", -25, 0, -5, -30
"c:\Users\AmirP\chronos\crates\chronosd\src\mixing_engine.rs", "Rust", -62, -4, -9, -75
"c:\Users\AmirP\chronos\crates\chronosd\src\nic_control.rs", "Rust", -44, -4, -4, -52
"c:\Users\AmirP\chronos\crates\chronosd\src\pow_admission.rs", "Rust", -29, -4, -7, -40
"c:\Users\AmirP\chronos\crates\chronosd\src\queue.rs", "Rust", -66, -1, -7, -74
"c:\Users\AmirP\chronos\crates\chronosd\src\socket_tiering.rs", "Rust", -96, -6, -10, -112
"c:\Users\AmirP\chronos\crates\chronosd\src\toeplitz_rss.rs", "Rust", -64, -10, -9, -83
"c:\Users\AmirP\chronos\crates\chronosd\src\udp_relay.rs", "Rust", -1105, -10, -103, -1218
"Total", "-", -4546, -147, -523, -5216
